"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"Test Suite 1","Test Case 1","request_1","restrequest","UNKNOWN","","19-Mar-2021 22_35",
"Test Suite 1","Test Case 1","getData","jdbc","UNKNOWN","","19-Mar-2021 22_35",
"Test Suite 1","Test Case 1","assert","groovy","OK","","19-Mar-2021 22_35",
"Library","cvs","GenerateCSVReport","groovy","OK","","19-Mar-2021 22_35",
